station_name,wigos_station_identifier,traditional_station_identifier,facility_type,latitude,longitude,elevation,barometer_height,territory_name,wmo_region
BONIFATI (16337-0),0-20000-0-16337,16337,Land (fixed),39.58472222,15.89138889,484,,Italy,6
DECIMOMANNU,0-20000-0-16546,16546,Land (fixed),39.34611111,8.9675,29,,Italy,6
CAMPOBASSO,0-20000-0-16252,16252,Land (fixed),41.56361111,14.655,793,,Italy,6
GRAZZANISE,0-20000-0-16253,16253,Land (fixed),41.06055556,14.07888889,9.19,,Italy,6
PRATICA DI MARE,0-20000-0-16245,16245,Land (fixed),41.65555556,12.44805556,12.3,,Italy,6
ILLIZI,0-20000-0-60640,60640,Land (fixed),26.71916,8.61722,542,,Algeria,1
SKIKDA,0-20000-0-60355,60355,Land (fixed),36.88178,6.93503,2,,Algeria,1
PIAN ROSA,0-20000-0-16052,16052,Land (fixed),45.935,7.706111111,3480,,Italy,6
PRIZZI,0-20000-0-16434,16434,Land (fixed),37.72277778,13.42805556,1034,,Italy,6
DOBBIACO,0-20000-0-16033,16033,Land (fixed),46.73,12.22,1222,,Italy,6
CATANIA SIGONELLA,0-20000-0-16459,16459,Land (fixed),37.40555556,14.91861111,24,,Italy,6
BALAKA,0-454-2-AWSBALAKA,AWSBALAKA,Land (fixed),-14.983333,34.966666,618,,Malawi,1
MECHERIA,0-20000-0-60549,60549,Land (fixed),33.54581,-0.23527,1123.2,,Algeria,1
TERMOLI,0-20000-0-16232,16232,Land (fixed),42.00416667,14.99638889,16,,Italy,6
VIGNA DI VALLE,0-20000-0-16224,16224,Land (fixed),42.08027778,12.21138889,260,,Italy,6
HASSI-MESSAOUD,0-20000-0-60581,60581,Land (fixed),31.65861,6.14138,140,,Algeria,1
DJELFA,0-20000-0-60535,60535,Land (fixed),34.65361,3.28138,1180,,Algeria,1
PAGANELLA,0-20000-0-16022,16022,Land (fixed),46.15972222,11.03416667,2125,,Italy,6
MONTE S. ANGELO,0-20000-0-16258,16258,Land (fixed),41.70833333,15.94777778,838,,Italy,6
MALOMO,0-454-2-AWSMALOMO,AWSMALOMO,Land (fixed),-13.14202,33.83727,1088,,Malawi,1
TREVICO,0-20000-0-16263,16263,Land (fixed),41.04666667,15.23277778,1085,,Italy,6
EL-OUED,0-20000-0-60559,60559,Land (fixed),33.50618,6.78841,63,,Algeria,1
TIMIMOUN,0-20000-0-60607,60607,Land (fixed),29.24412,0.28385,312,,Algeria,1
CONCORDIA,0-20000-0-89625,89625,Land (fixed),-75.10166667,123.4119444,3233,,Italy,7
TOUGGOURT,0-20000-0-60555,60555,Land (fixed),33.07011,6.09208,87,,Algeria,1
MONTE SCURO,0-20000-0-16344,16344,Land (fixed),39.33055556,16.39638889,1669,,Italy,6
BATNA,0-20000-0-60468,60468,Land (fixed),35.76083,6.31972,821,,Algeria,1
ENNA,0-20000-0-16450,16450,Land (fixed),37.56805556,14.27972222,1000,,Italy,6
NAMITAMBO,0-454-2-AWSNAMITAMBO,AWSNAMITAMBO,Land (fixed),-15.84052,35.27428,806,,Malawi,1
TOLEZA,0-454-2-AWSTOLEZA,AWSTOLEZA,Land (fixed),-14.948,34.955,764,,Malawi,1
IN-GUEZZAM,0-20000-0-60690,60690,Land (fixed),19.56388,5.74887,399,,Algeria,1
BRIC DELLA CROCE,0-20000-0-16061,16061,Land (fixed),45.03333333,7.731666667,709,,Italy,6
TREVISO/ISTRANA,0-20000-0-16098,16098,Land (fixed),45.68388889,12.10666667,42,,Italy,6
KAYEREKERA,0-454-2-AWSKAYEREKERA,AWSKAYEREKERA,Land (fixed),-9.92951,33.67305,848,,Malawi,1
LOBI AWS,0-454-2-AWSLOBI,AWSLOBI,Land (fixed),-14.39528,34.07244,1288,,Malawi,1
CERVIA,0-20000-0-16148,16148,Land (fixed),44.22888889,12.29194444,6,,Italy,6
NKHOMA UNIVERSITY,0-454-2-AWSNKHOMA,AWSNKHOMA,Land (fixed),-14.04422,34.10468,1230,,Malawi,1
SAIDA,0-20000-0-60536,60536,Land (fixed),34.89186,0.15774,750,,Algeria,1
PASSO ROLLE,0-20000-0-16021,16021,Land (fixed),46.29777778,11.78666667,2004,,Italy,6
AREZZO,0-20000-0-16172,16172,Land (fixed),43.45972222,11.84555556,248,,Italy,6
CAPRI,0-20000-0-16294,16294,Land (fixed),40.55777778,14.20194444,160,,Italy,6
TARVISIO,0-20000-0-16040,16040,Land (fixed),46.50555556,13.58611111,777,,Italy,6
SETIF/AIN ARNAT,0-20000-0-60445,60445,Land (fixed),36.16666667,5.316666667,1009,,Algeria,1
JIJEL- ACHOUAT,0-20000-0-60351,60351,Land (fixed),36.79472,5.87722,8,,Algeria,1
MONTE ARGENTARIO,0-20000-0-16168,16168,Land (fixed),42.38694444,11.16972222,630.7,,Italy,6
CAPO CARBONARA,0-20000-0-16564,16564,Land (fixed),39.10388889,9.513611111,116,,Italy,6
ANNABA,0-20000-0-60360,60360,Land (fixed),36.822222,7.8025,5,,Algeria,1
BENI-ABBES,0-20000-0-60602,60602,Land (fixed),30.12846,-2.14953,510,,Algeria,1
FRONTONE,0-20000-0-16179,16179,Land (fixed),43.51694444,12.72777778,570,,Italy,6
FERRARA (16138-0),0-20000-0-16138,16138,Land (fixed),44.81555556,11.6125,8,,Italy,6
TIARET,0-20000-0-60511,60511,Land (fixed),35.35542,1.46792,977,,Algeria,1
MASCARA-GHRISS,0-20000-0-60507,60507,Land (fixed),35.20666,0.1525,511,,Algeria,1
EL-BAYADH,0-20000-0-60550,60550,Land (fixed),33.71966,1.09484,1361,,Algeria,1
USTICA,0-20000-0-16400,16400,Land (fixed),38.70722222,13.17722222,242,,Italy,6
GROSSETO,0-20000-0-16206,16206,Land (fixed),42.74805556,11.05888889,5.4,,Italy,6
BENI OUNIF,0-12-0-08BECCN60577,60577,Land (fixed),32.05138,-1.26527,830,,Algeria,1
OCNA SUGATAG,0-20000-0-15015,15015,Land (fixed),47.77706163,23.94046026,503,,Romania,6
BOTOSANI,0-20000-0-15020,15020,Land (fixed),47.73565324,26.64555017,161,,Romania,6
IASI,0-20000-0-15090,15090,Land (fixed),47.16333333,27.62722222,74.29,,Romania,6
CEAHLAU TOACA,0-20000-0-15108,15108,Land (fixed),46.97751,25.94993997,1897,,Romania,6
CLUJ-NAPOCA,0-20000-0-15120,15120,Land (fixed),46.7777705,23.57130529,410,,Romania,6
BACAU,0-20000-0-15150,15150,Land (fixed),46.55777778,26.89666667,174,,Romania,6
MIERCUREA CIUC,0-20000-0-15170,15170,Land (fixed),46.37131666,25.77261668,661,,Romania,6
ARAD,0-20000-0-15200,15200,Land (fixed),46.1335164,21.35362152,116.59,,Romania,6
DEVA,0-20000-0-15230,15230,Land (fixed),45.86492301,22.89880624,240,,Romania,6
SIBIU,0-20000-0-15260,15260,Land (fixed),45.79018,24.036245,450,,Romania,6
VARFU OMU,0-20000-0-15280,15280,Land (fixed),45.4457928,25.45669098,2504,,Romania,6
CARANSEBES,0-20000-0-15292,15292,Land (fixed),45.41667,22.22917,241,,Romania,6
GALATI,0-20000-0-15310,15310,Land (fixed),45.47291814,28.03230106,69,,Romania,6
TULCEA,0-20000-0-15335,15335,Land (fixed),45.19050648,28.82416076,4.36,,Romania,6
RAMNICU VALCEA,0-20000-0-15346,15346,Land (fixed),45.08882112,24.36281391,237,,Romania,6
BUZAU,0-20000-0-15350,15350,Land (fixed),45.13266329,26.85173192,97,,Romania,6
SULINA,0-20000-0-15360,15360,Land (fixed),45.1623111,29.7268286,12.69,,Romania,6
DROBETA-TURNU SEVERIN,0-20000-0-15410,15410,Land (fixed),44.6264587,22.62607371,77,,Romania,6
BUCURESTI BANEASA,0-20000-0-15420,15420,Land (fixed),44.510433,26.07819041,90,,Romania,6
CRAIOVA,0-20000-0-15450,15450,Land (fixed),44.31014043,23.86698474,192,,Romania,6
CALARASI,0-20000-0-15460,15460,Land (fixed),44.20573853,27.33830807,18.72,,Romania,6
ROSIORII DE VEDE,0-20000-0-15470,15470,Land (fixed),44.10721334,24.97874007,102.15,,Romania,6
CONSTANTA,0-20000-0-15480,15480,Land (fixed),44.21381439,28.64556468,12.8,,Romania,6
